KWHSPH,KWHCOL,KWHWTH,KWHRFG,KWHRFG1,KWHRFG2,KWHFRZ,KWHCOK,KWHMICRO,KWHCW,KWHCDR,KWHDWH,KWHLGT,KWHTVREL,KWHTV1,KWHTV2,KWHAHUHEAT,KWHAHUCOL,KWHEVAPCOL,KWHCFAN,KWHDHUM,KWHHUM,KWHPLPMP,KWHHTBPMP,KWHHTBHEAT,KWHNEC,location
0,157.414,0,465.798,465.798,0,0,0,29.498,45.376,510.526,0,4101.264,645.808,337.142,70.364,59.059,0,0,0,0,0,0,0,0,903.255,1
114.68,2411.759,1189.605,217.912,217.912,0,0,125.934,48.304,0,1709.444,0,361.955,210.566,110.729,0,0,0,0,18.271,0,0,0,0,0,1494.572,1
0,2838.417,0,998.745,666.666,332.079,517.433,339.57,0,26.286,532.306,66.378,3276.245,445.822,53.123,35.729,892.58,175.545,0,431.271,818.283,995.708,1507.485,0,0,1157.752,1
4971.235,4321.341,2424.953,1063.69,1063.69,0,454.413,129.464,29.879,97.934,995.768,0,979.691,823.227,380.297,84.712,86.449,226.719,0,469.081,0,0,0,0,0,798.073,1
0,1295.72,0,734.845,734.845,0,0,0,73.507,125.477,0,232.531,2558.188,666.658,71.26,47.396,55.528,74.827,0,21.569,0,786.279,0,0,0,3796.498,1
2833.17,4347.493,2244.346,608.639,608.639,0,597.294,317.987,280.576,81.967,834.342,67.149,1305.621,589.506,190.733,15.634,49.998,231.624,0,61.655,0,0,0,0,0,1549.633,3
501.205,3230.801,1229.946,1059.936,1059.936,0,0,55.885,138.901,48.09,492.624,94.05,417.299,739.484,182.152,110.598,6.898,151.506,0,326.4,0,0,1550.949,0,0,2526.021,1
953.037,390.906,0,1326.402,713.307,613.095,0,0,66.38,56.651,1142.619,194.469,1737.333,668.175,100.975,100.968,0,22.095,0,147.447,482.523,0,0,0,0,1160.954,2
0,665.011,0,501.356,501.356,0,0,280.801,73.417,137.142,1531.248,230.861,1014.695,1032.881,133.022,133.069,549.48,0,0,595.763,0,0,0,0,0,804.397,1
1790.04,4699.876,1683.625,542.612,542.612,0,0,211.078,150.958,66.569,678.693,67.805,2039.736,0,0,0,29.479,219.796,0,301.117,0,0,0,0,0,325.794,3
0,1746.173,2008.205,473.234,473.234,0,0,990.949,106.774,48.467,779.96,138.671,2338.396,750.209,71.103,53.42,161.272,81.042,0,0,0,0,0,0,0,4600.442,1
0,441.872,1804.893,869.332,869.332,0,0,234.435,98.991,15.883,167.412,0,260.66,482.523,110.302,52.524,335.602,18.528,0,0,2008.21,0,0,0,0,470.659,2
1780.241,9122.858,3567.046,668.171,668.171,0,241.789,122.143,163.178,77.206,1239.435,159.079,1643.225,1234.328,36.965,507.58,25.763,572.212,0,423.706,0,0,0,0,0,1731.855,1
